TpepPickupDatetime,TpepDropoffDatetime,PassengerCount,TripDistance,StoreAndFwdFlag,PULocationID,DOLocationID,FareAmount,TipAmount
1/1/2020 12:17:45 AM,1/1/2020 12:20:55 AM,1,0.03,No,186,186,4,0
1/1/2020 12:30:14 AM,1/1/2020 12:35:15 AM,1,0.72,No,141,140,-5,0
1/1/2020 12:30:14 AM,1/1/2020 12:35:15 AM,1,0.72,No,141,140,5,0
1/1/2020 12:14:15 AM,1/1/2020 12:26:39 AM,1,2.25,No,231,107,-10.5,0
1/1/2020 12:14:15 AM,1/1/2020 12:26:39 AM,1,2.25,No,231,107,10.5,0
1/1/2020 1:00:29 AM,1/1/2020 1:03:50 AM,1,0.55,No,246,246,-4.5,0
1/1/2020 1:00:29 AM,1/1/2020 1:03:50 AM,1,0.55,No,246,246,4.5,0
1/1/2020 12:16:32 AM,1/1/2020 12:28:26 AM,1,2,No,239,262,10.5,2.85
1/1/2020 12:16:32 AM,1/1/2020 12:28:26 AM,1,1.26,No,249,79,8.5,0
1/1/2020 12:22:33 AM,1/1/2020 12:28:55 AM,2,1.2,No,263,43,6.5,2
1/1/2020 12:22:33 AM,1/1/2020 12:28:55 AM,2,1.2,No,263,43,6.5,2
1/1/2020 12:06:51 AM,1/1/2020 12:21:09 AM,1,3.93,No,148,141,-13.5,0
1/1/2020 12:06:51 AM,1/1/2020 12:21:09 AM,1,3.93,No,148,141,13.5,0
1/1/2020 12:40:30 AM,1/1/2020 12:58:36 AM,1,0.78,No,161,170,-11,0
1/1/2020 12:40:30 AM,1/1/2020 12:58:36 AM,1,0.78,No,161,164,11,0
1/1/2020 12:04:53 AM,1/1/2020 12:26:25 AM,1,11.35,No,107,14,-32.5,0
1/1/2020 12:04:53 AM,1/1/2020 12:26:25 AM,1,11.35,No,107,14,32.5,0
1/1/2020 12:28:41 AM,1/1/2020 12:34:01 AM,1,0.88,No,7,7,-5.5,0
1/1/2020 12:28:41 AM,1/1/2020 12:34:01 AM,1,0.88,No,7,7,5.5,0
1/1/2020 12:18:21 AM,1/1/2020 12:18:59 AM,1,0.16,No,148,148,-2.5,0
1/1/2020 12:18:21 AM,1/1/2020 12:18:59 AM,1,0.16,No,148,148,2.5,0
1/1/2020 12:14:34 AM,1/1/2020 12:15:49 AM,1,0.08,No,161,161,-3,0
1/1/2020 12:14:34 AM,1/1/2020 12:15:49 AM,1,0.08,No,161,161,3,0
1/1/2020 12:24:37 AM,1/1/2020 12:31:19 AM,1,1.26,No,79,45,-6.5,0
1/1/2020 12:24:37 AM,1/1/2020 12:31:19 AM,1,1.26,No,79,45,6.5,0
1/1/2020 12:00:46 AM,1/1/2020 12:19:33 AM,1,4,No,161,263,-16,0
1/1/2020 12:00:46 AM,1/1/2020 12:19:33 AM,1,4,No,161,263,16,0
1/1/2020 12:17:43 AM,1/1/2020 12:21:58 AM,3,0.68,No,158,125,-4.5,0
1/1/2020 12:17:43 AM,1/1/2020 12:21:58 AM,3,0.68,No,158,125,4.5,0
1/1/2020 12:15:23 AM,1/1/2020 12:18:06 AM,1,0.4,No,234,234,-4,0
1/1/2020 12:15:23 AM,1/1/2020 12:18:06 AM,1,0.4,No,234,234,4,0
1/1/2020 12:45:27 AM,1/1/2020 12:52:00 AM,1,0.6,No,233,162,-6,0
1/1/2020 12:45:27 AM,1/1/2020 12:52:00 AM,1,0.6,No,233,162,6,0
1/1/2020 1:50:04 AM,1/1/2020 1:53:55 AM,1,0.09,No,233,233,-4,0
1/1/2020 1:50:04 AM,1/1/2020 1:53:55 AM,1,0.09,No,233,233,4,0
1/1/2020 1:53:34 AM,1/1/2020 1:54:17 AM,4,0,No,129,129,0,0
1/1/2020 1:53:34 AM,1/1/2020 1:54:17 AM,4,0,No,129,129,0,0
1/1/2020 1:30:10 AM,1/1/2020 1:37:37 AM,2,1.6,No,113,231,7,2.15
1/1/2020 1:30:10 AM,1/1/2020 1:37:37 AM,2,1.1,No,181,181,7,2.05
1/1/2020 1:09:09 AM,1/1/2020 1:15:19 AM,1,0.52,No,263,262,-5,0
1/1/2020 1:09:09 AM,1/1/2020 1:15:19 AM,1,0.52,No,263,262,5,0
1/1/2020 1:08:41 AM,1/1/2020 1:08:47 AM,1,0,No,140,140,-52,0
1/1/2020 1:08:41 AM,1/1/2020 1:08:47 AM,1,0,No,140,140,52,0
1/1/2020 12:59:08 AM,1/1/2020 1:00:41 AM,6,0.16,No,137,137,-3,0
1/1/2020 12:59:08 AM,1/1/2020 1:00:41 AM,6,0.16,No,137,137,3,0
1/1/2020 1:48:39 AM,1/1/2020 1:49:33 AM,1,0,No,107,107,-2.5,0
1/1/2020 1:48:39 AM,1/1/2020 1:49:33 AM,1,0,No,107,107,2.5,0
1/1/2020 1:41:49 AM,1/1/2020 1:43:56 AM,3,0.12,No,229,229,-3.5,0
